"TRATAMENTO DE FRATURAS MLTIPLAS E/OU COMPLEXAS DO TERO MDIO DA FACE, FIXAO CIRRGICA
COM SNTESE SSEA, LEVANTAMENTO CRNIO MAXILAR, BLOQUEIO INTERMAXILAR, ENXERTO SSEO E
HALO CRANIANO EVENTUAL",,,,,HCO,HSO,REF,,,TRAUMA CRNIO-MAXILO-FACIAL,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
CORREO CIRRGICA DE DEPRESSO (AFUNDAMENTO) DA REGIO FRONTAL,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HEMIMANDIBULECTOMIA COM OU SEM ENXERTO SSEO COM OU SEM COLOCAO DE PRTESE,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"OSTEOPLASTIA PARA PROGNATISMO, MICROGNATISMO OU LATEROGNATISMO",,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOPLASTIAS DA RBITA,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOPLASTIAS DE MANDBULA/MAXILA,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOPLASTIAS DO ARCO ZIGOMTICO,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOPLASTIAS ETMIDO ORBITAIS,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOTOMIA CRNIO-MAXILARES,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOTOMIA E OSTEOPLASTIA DE MANDBULA PARA LATEROGNATISMO,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOTOMIAS ALVOLO PALATINAS,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OSTEOTOMIAS DOS MAXILARES OU MALARES,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"OSTEOTOMIA DA MANDBULA E/OU MAXILA COM APLICAO DE OSTEODISTRATOR (COM DIRETRIZ DE
UTILIZAO)",,,,,HCO,HSO,REF,,144,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO DE MANDBULA/MAXILA COM PRTESE E OU ENXERTO SSEO,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
REDUO SIMPLES DA LUXAO DA ARTICULAO TMPORO-MANDIBULAR COM FIXAO INTERMAXILAR,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO DA REGIO BUCO-MAXILO-FACIAL,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SUTURA DE FERIDA EM REGIO BUCO-MAXILO-FACIAL (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,97,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE ANQUILOSE DA ARTICULAO TMPORO MANDIBULAR,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE CISTOS,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE FSTULA BUCO-MAXILO-FACIAL E BUCO NASAL,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
TRATAMENTO CIRRGICO DE LUXAO DA ATM,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE TUMORES E EXOSTOSES,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRURGICO OU ARTROPLASTIA PARA LUXAO DA ARTICULAO TMPORO-MANDIBULAR,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"TRATAMENTO CIRURGICO OU ARTROPLASTIA PARA LUXAO DA ARTICULAO TMPORO-MANDIBULAR
POR ARTROSCOPIA",,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DA
FACE",CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"CORREO DE TUMORES, CICATRIZES OU FERIMENTOS COM O AUXLIO DE EXPANSORES DE TECIDOS",,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE CISTO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE TUMOR OU FSTULA,,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"HEMIATROFIA FACIAL, CORREO COM ENXERTO DE GORDURA OU IMPLANTE",,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"REANIMAO COM O MSCULO TEMPORAL PARA O TRATAMENTO DA PARALISIA FACIAL, COM OU SEM
NEUROTIZAO",,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO COM RETALHO AXIAL DA ARTRIA TEMPORAL SUPERFICIAL,,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO COM RETALHOS AXIAIS SUPRA-ORBITAIS E SUPRATROCLEARES,,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO COM RETALHOS EM VY DE PEDCULO SUBARTERIAL,,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO COM ROTAO DO MSCULO TEMPORAL,,,,,HCO,HSO,REF,,,FACE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE MANDBULA/MAXILA (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,85,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"TRATAMENTO CIRRGICO DE TUMORES BENIGNOS ODONTOGNICOS SEM RECONSTRUO (COM DIRETRIZ
DE UTILIZAO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,87,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
REMOO DE ODONTOMA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"TRATAMENTO CIRRGICO DE HIPERPLASIAS DE TECIDOS SSEOS/CARTILAGINOSOS NA REGIO BUCO-
MAXILO-FACIAL (COM DIRETRIZ DE UTILIZAO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,88,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"TRATAMENTO CIRRGICO DE TUMORES BENIGNOS DE TECIDOS SSEOS/CARTILAGINOSOS NA REGIO
BUCO-MAXILO-FACIAL (COM DIRETRIZ DE UTILIZAO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,88,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE PEQUENOS CISTOS DE MANDBULA/MAXILA (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,91,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
HEMIMANDIBULECTOMIA OU RESSECO SECCIONAL DA MANDBULA,,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
MANDIBULECTOMIA COM OU SEM ESVAZIAMENTO GANGLIONAR CERVICAL COM OU SEM ENXERTO SSEO,,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
MANDIBULECTOMIA COM OU SEM ESVAZIAMENTO ORBITAL E RINOTOMIA LATERAL,,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
MANDIBULECTOMIA COM RECONSTRUO  CUSTA DE OSTEOMIOCUTNEO,,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
MANDIBULECTOMIA COM RECONSTRUO MICROCIRRGICA,,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"OPERAO ""PULL THROUGH"" PARA TUMORES DA BOCA COM ESVAZIAMENTO",,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO DE TUMOR DE MANDBULA COM DESARTICULAO DE ATM,,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO PARCIAL DA MANDBULA (SEGMENTAR OU SECCIONAL),,,,,HCO,HSO,REF,,,MANDBULA E MAXILA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CERVICOTOMIA EXPLORADORA,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DRENAGEM DE ABSCESSO CERVICAL PROFUNDO,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESCALENOTOMIA,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESVAZIAMENTO CERVICAL,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXRESE DE TUMOR, CISTO OU FSTULA CERVICAL",,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
LINFADENECTOMIA PROFUNDA,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
LINFADENECTOMIA SUPERFICIAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEUROBLASTOMA CERVICAL - EXRESE,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"OPERAO COMPOSTA COM ESVAZIAMENTO CERVICAL COM OU SEM RECONSTRUO  CUSTA DE
RETALHOS DE PELE",,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PUNO-BIPSIA DE PESCOO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO DE ESFAGO CERVICAL,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
RESSECO DE TUMOR DE CORPO CAROTDEO,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETRAO CICATRICIAL CERVICAL COM OU SEM EMPREGO DE EXPANSORES DE TECIDO,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TORCICOLO CONGNITO - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DA LIPOMATOSE CERVICAL,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE FSTULA COM RETALHO CUTNEO,,,,,HCO,HSO,REF,,,PESCOO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE TIREIDE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BCIO MERGULHANTE: EXTIRPAO,,,,,HCO,HSO,REF,,,TIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ISTMECTOMIA OU NODULECTOMIA,,,,,HCO,HSO,REF,,,TIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TIREOIDECTOMIA PARCIAL OU TOTAL COM OU SEM ESVAZIAMENTO GANGLIONAR,,,,,HCO,HSO,REF,,,TIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE PARATIREIDE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PARATIREOIDECTOMIA COM ESVAZIAMENTO CERVICAL,,,,,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PARATIREOIDECTOMIA COM TORACOTOMIA,,,,,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PARATIREOIDECTOMIA SUBTOTAL,,,,,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PARATIREOIDECTOMIA TOTAL COM IMPLANTE DE PARATIREIDES,,,,,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
REIMPLANTE DE PARATIREIDE PREVIAMENTE PRESERVADA,,,,,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DO HIPERPARATIREOIDISMO,,,,,HCO,HSO,REF,,,PARATIREIDE,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CRANIOPLASTIA,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CRANIOTOMIA OU CRANIECTOMIA DESCOMPRESSIVA,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CRANIOTOMIA PARA TUMORES SSEOS,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
RECONSTRUO CRANIANA OU CRANIOFACIAL,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETIRADA DE CRANIOPLASTIA,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DA CRANIOSSINOSTOSE,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DA FRATURA DO CRNIO - AFUNDAMENTO,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DA OSTEOMIELITE DE CRNIO,,,,,HCO,HSO,REF,,,CRNIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ABSCESSO DE PLPEBRA - DRENAGEM,,,,Seg. Ambulatorial,,,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE PLPEBRA,,,,Seg. Ambulatorial,,,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BLEFARORRAFIA,,,,Seg. Ambulatorial,,,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CALZIO - TRATAMENTO CIRRGICO,,,,Seg. Ambulatorial,,,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CANTOPLASTIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
COLOBOMA - CORREO CIRRGICA (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,15,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CORREO CIRRGICA DE ECTRPIO OU ENTRPIO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EPICANTO - CORREO CIRRGICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EPILAO DE CLIOS POR ELETRLISE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
FISSURA PALPEBRAL - CORREO CIRRGICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
LAGOFTALMO - CORREO CIRRGICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PLPEBRA - RECONSTRUO PARCIAL COM OU SEM RESSECO DE TUMOR,,,,,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PLPEBRA - RECONSTRUO TOTAL COM OU SEM RESSECO DE TUMOR,,,,,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PTOSE PALPEBRAL - CORREO CIRRGICA,,,,,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
RESSECO DE TUMORES PALPEBRAIS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETRAO PALPEBRAL - CORREO CIRRGICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SIMBLFARO COM OU SEM ENXERTO - CORREO CIRRGICA,,,,,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SUPERCLIO - RECONSTRUO,,,,,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SUTURA DE PLPEBRA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TARSORRAFIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TELECANTO - CORREO CIRRGICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRIQUASE COM OU SEM ENXERTO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PLPEBRA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CORREO DA ENOFTALMIA,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DESCOMPRESSO DE RBITA OU NERVO TICO,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXENTERAO DE RBITA COM OU SEM OSTEOTOMIA,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLGICA (TEMPO FACIAL) PLPEBRA, CAVIDADE
ORBITRIA E OLHOS",,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE OU RESSECO DE TUMOR DE RBITA,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
FRATURA DE RBITA - REDUO CIRRGICA COM OU SEM ENXERTO SSEO,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
IMPLANTE SECUNDRIO DE RBITA,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
MICROCIRURGIA PARA TUMORES ORBITRIOS,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTITUIO DE PAREDES ORBITRIAS,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO DA CAVIDADE ORBITAL,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO DE TUMORES DA CAVIDADE ORBITRIA,,,,,HCO,HSO,REF,,,CAVIDADE ORBITRIA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
AUTOTRANSPLANTE CONJUNTIVAL,,,,,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE CONJUNTIVA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE PTERGIO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE TUMOR DE CONJUNTIVA,,,,,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
INFILTRAO SUBCONJUNTIVAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"PLSTICA DE CONJUNTIVA PARA PTERGIO, TUMORES OU TRAUMAS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTITUIO DE FUNDO DE SACO,,,,,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SUTURA DE CONJUNTIVA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CAUTERIZAO DE CRNEA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,CRNEA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CERATECTOMIA FOTOTERAPUTICA (PTK),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CRNEA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CERATECTOMIA SUPERFICIAL,,,,,HCO,HSO,REF,,,CRNEA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CIRURGIA REFRATIVA - PRK OU LASIK (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,13,CRNEA,OLHOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
